Loading handle mappings...
  CMOTamilnadu: 9504 IDs
  mkstalin: 4663 IDs
  TRBRajaa: 20441 IDs

Processing batches 5 to 692 (688 batches)

Batch 334 (50 tweets)... 50 fetched, 658 404s, 16 errors
  [Saved progress: 15826 tweets]

Batch 335 (50 tweets)... 50 fetched, 658 404s, 16 errors

Batch 336 (50 tweets)... 50 fetched, 658 404s, 16 errors

Batch 337 (50 tweets)... 50 fetched, 658 404s, 16 errors

Batch 338 (50 tweets)... 44 fetched, 664 404s, 16 errors

Batch 339 (50 tweets)... 43 fetched, 671 404s, 16 errors

Batch 340 (50 tweets)... 46 fetched, 675 404s, 16 errors

Batch 341 (50 tweets)... 46 fetched, 678 404s, 17 errors

Batch 342 (50 tweets)... 46 fetched, 682 404s, 17 errors

Batch 343 (50 tweets)... 49 fetched, 683 404s, 17 errors

Batch 344 (50 tweets)... 50 fetched, 683 404s, 17 errors
  [Saved progress: 16300 tweets]

Batch 345 (50 tweets)... 48 fetched, 685 404s, 17 errors

Batch 346 (50 tweets)...(50 tweets)... 50 fetched, 17 404s, 0 errors

Batch 327 (50 tweets)... 47 fetched, 41 404s, 0 errors

Batch 328 (50 tweets)... 47 fetched, 20 404s, 0 errors

Batch 328 (50 tweets)... 47 fetched, 44 404s, 0 errors

Batch 329 (50 tweets)... 47 fetched, 23 404s, 0 errors
  [Saved progress: 977 tweets]

Batch 329 (50 tweets)... 50 fetched, 44 404s, 0 errors

Batch 330 (50 tweets)... 50 fetched, 23 404s, 0 errors

Batch 330 (50 tweets)... 49 fetched, 45 404s, 0 errors
  [Saved progress: 1955 tweets]

Batch 331 (50 tweets)... 49 fetched, 24 404s, 0 errors

Batch 331 (50 tweets)... 48 fetched, 47 404s, 0 errors

Batch 332 (50 tweets)... 48 fetched, 26 404s, 0 errors

Batch 332 (50 tweets)... 50 fetched, 47 404s, 0 errors

Batch 333 (50 tweets)... 50 fetched, 26 404s, 0 errors

Batch 333 (50 tweets)... 50 fetched, 47 404s, 0 errors

Batch 334 (50 tweets)... 50 fetched, 26 404s, 0 errors

Batch 334 (50 tweets)... 50 fetched, 47 404s, 0 errors

Batch 335 (50 tweets)... 50 fetched, 26 404s, 0 errors

Batch 335 (50 tweets)... 50 fetched, 47 404s, 0 errors

Batch 336 (50 tweets)... 50 fetched, 26 404s, 0 errors

Batch 336 (50 tweets)... 50 fetched, 26 404s, 0 errors

Batch 337 (50 tweets)... 50 fetched, 47 404s, 0 errors

Batch 337 (50 tweets)... 50 fetched, 26 404s, 0 errors

Batch 338 (50 tweets)... 50 fetched, 47 404s, 0 errors

Batch 338 (50 tweets)... 44 fetched, 53 404s, 0 errors

Batch 339 (50 tweets)... 44 fetched, 32 404s, 0 errors
  [Saved progress: 1468 tweets]

Batch 339 (50 tweets)... 43 fetched, 39 404s, 0 errors

Batch 340 (50 tweets)... 43 fetched, 60 404s, 0 errors

Batch 340 (50 tweets)... 46 fetched, 43 404s, 0 errors

Batch 341 (50 tweets)... 46 fetched, 64 404s, 0 errors
  [Saved progress: 2436 tweets]

Batch 341 (50 tweets)... 46 fetched, 67 404s, 1 errors

Batch 342 (50 tweets)... 46 fetched, 46 404s, 1 errors

Batch 342 (50 tweets)... 46 fetched, 71 404s, 1 errors

Batch 343 (50 tweets)... 46 fetched, 50 404s, 1 errors

Batch 343 (50 tweets)... 49 fetched, 72 404s, 1 errors

Batch 344 (50 tweets)... 49 fetched, 51 404s, 1 errors

Batch 344 (50 tweets)... 50 fetched, 72 404s, 1 errors

Batch 345 (50 tweets)... 50 fetched, 51 404s, 1 errors

Batch 345 (50 tweets)... 48 fetched, 53 404s, 1 errors

Batch 346 (50 tweets)...Loading handle mappings...
  CMOTamilnadu: 9504 IDs
  mkstalin: 4663 IDs
  TRBRajaa: 20441 IDs

Processing batches 346 to 692 (347 batches)

Batch 346 (50 tweets)... 47 fetched, 3 404s, 0 errors

